"site","dir_met","dir_BulkP","BulkP_type","dir_Teros","dir_EC","dir_fetch","dir_Easyflux","dir_LI710","dir_LI710_old","dir_output","dir_other_processed","latitude","longitude","elevation","dir_eddypro"
"ECDP","/Carson_Desert/CarsonDesert_EC_Flux_CSFormat.dat","/Carson_Desert/CarsonDesert_EC_PluvioTable.dat","Pluvio","/Carson_Desert/CarsonDesert_EC_TerosTable.dat","/Data_Summaries_All_Sites/Carson_Desert/Carson_Desert_Data_Summary.xlsx","NA","/Carson_Desert/CarsonDesert_EC_Flux_AmeriFluxFormat.dat","/Carson_Desert/CarsonDesert_EC_LI710.dat","/Carson_Desert/CarsonDesert_EC_LI710_old.backup","/Post_Processed_Data/Carson_Desert","NA","39.57806772","-118.862","1214","/EddyPro_Output_Files/Carson_Desert_EC"
"EDVG","/Diamond_Valley/D_Valley_Pivot_Flux_CSFormat.dat","/Diamond_Valley/D_Valley_Pivot_BulkPrecip.dat","SG400","NA","/Data_Summaries_All_Sites/DV_Alfalfa/DV_Alfalfa_Data_Summary.xlsx","/Site_Locations_kml_files/ROI_boundary_run_results/Fetch_EDVG.csv","/Diamond_Valley/D_Valley_Pivot_Flux_AmeriFluxFormat.dat","/Diamond_Valley/D_Valley_Pivot_LI710.dat","NA","/Post_Processed_Data/Diamond_Valley","NA","39.68440044","-115.773","1798","/EddyPro_Output_Files/DValfalfa"
"EDVP","/Desert_Valley/Desert_Valley_Flux_CSFormat.dat","/Desert_Valley/Desert_Valley_PluvioTable.dat","Pluvio","/Desert_Valley/Desert_Valley_TerosTable.dat","/Data_Summaries_All_Sites/Desert_Valley/Desert_Valley_Data_Summary.xlsx","NA","/Desert_Valley/Desert_Valley_Flux_AmeriFluxFormat.dat","/Desert_Valley/Desert_Valley_LI710.dat","NA","/Post_Processed_Data/Desert_Valley","NA","41.45203562","-118.127","1256","/EddyPro_Output_Files/Desert_Valley"
"ERVA","/Railroad_Valley_Center_Pivot_1/RR_Valley_Pivot_Flux_CSFormat.dat","NA","NA","NA","/Data_Summaries_All_Sites/RV_Alfalfa/RV_Alfalfa_Data_Summary.xlsx","/Site_Locations_kml_files/ROI_boundary_run_results/Fetch_ERVA.csv","/Railroad_Valley_Center_Pivot_1/RR_Valley_Pivot_Flux_AmeriFluxFormat.dat","/Railroad_Valley_Center_Pivot_1/RR_Valley_Pivot_LI710.dat","NA","/Post_Processed_Data/Railroad_Valley_Center_Pivot_1","NA","38.26608705","-115.773","1460","/EddyPro_Output_Files/Rvalfalfa"
"ERVP","/Railroad_Valley_Phreatophyte_1/RR_Valley_NatVeg_Flux_CSFormat.dat","/Railroad_Valley_Phreatophyte_1/RR_Valley_NatVeg_PluvioTable.dat","Pluvio","NA","/Data_Summaries_All_Sites/RV_Phreatophyte/RV_Phreatophyte_Data_Summary.xlsx","NA","/Railroad_Valley_Phreatophyte_1/RR_Valley_NatVeg_Flux_AmeriFluxFormat.dat","/Railroad_Valley_Phreatophyte_1/RR_Valley_NatVeg_LI710.dat","NA","/Post_Processed_Data/Railroad_Valley_Phreatophyte_1","NA","38.355361","-115.758","1449","/EddyPro_Output_Files/RVphreat"
"ECSM","/Columbus_Salt_Marsh/Columbus_Salt_Marsh_Flux_CSFormat.dat","/Columbus_Salt_Marsh/Columbus_Salt_Marsh_PluvioTable.dat","Pluvio","/Columbus_Salt_Marsh/Columbus_Salt_Marsh_TerosTable.dat","/Data_Summaries_All_Sites/Columbus_Salt_Marsh/Columbus_Salt_Marsh_Data_Summary.xlsx","NA","/Columbus_Salt_Marsh/Columbus_Salt_Marsh_Flux_AmeriFluxFormat.dat","/Columbus_Salt_Marsh/Columbus_Salt_Marsh_LI710.dat","/Columbus_Salt_Marsh/Columbus_Salt_Marsh_LI710.dat.backup","/Post_Processed_Data/Columbus_Salt_Marsh","NA","38.019625","-117.972","1384","/EddyPro_Output_Files/Columbus"
"S2","NA","NA","NA","NA","/Data_Summaries_All_Sites/Oregon_Harney_County_Pivot_1/S2_Data_Summary_4.xlsx","/Site_Locations_kml_files/ROI_boundary_run_results/Fetch_S2.csv","NA","NA","NA","/Post_Processed_Data/S2","NA","43.41712","-118.614","1254","NA"
"RRR","NA","NA","NA","NA","/Data_Summaries_All_Sites/Red_Rock_Road_Shrubland/RRR2_NSF_Fire_Data_Summary.xlsx","NA","NA","NA","NA","/Post_Processed_Data/RRR","NA","39.801103","-119.92","1720","NA"
"OSU_T1","/Collaborator_data_OSU/Tower1_EC_30min_2024-2025_PST.csv","NA","NA","NA","NA","/Site_Locations_kml_files/ROI_boundary_run_results/Fetch_OSU_T1.csv","/Collaborator_data_OSU/Tower1_EC_30min_2024-2025_PST.csv","/Collaborator_data_OSU/Tower1_LI710all_PST.csv","NA","/Post_Processed_Data/OSU_T1","NA","45.09295","-123.311","62","NA"
"OSU_T2","/Collaborator_data_OSU/Tower2_EC_30min_2024-2025_PST.csv","NA","NA","NA","NA","/Site_Locations_kml_files/ROI_boundary_run_results/Fetch_OSU_T2.csv","/Collaborator_data_OSU/Tower2_EC_30min_2024-2025_PST.csv","/Collaborator_data_OSU/Tower2_LI710all_PST.csv","NA","/Post_Processed_Data/OSU_T2","NA","45.0984463","-123.311","62","NA"
"SnakeFlux1","/Collaborator_data_UIdaho/potato25/eddypro_biomet.csv","NA","NA","NA","/Collaborator_data_UIdaho/potato25/eddypro_full_output.csv","/Site_Locations_kml_files/ROI_boundary_run_results/Fetch_SF1.csv","NA","NA","NA","/Post_Processed_Data/SnakeFlux1","/Collaborator_data_UIdaho/potato25/potato25_biomet_gapfilled_closed.csv","43.706","-116.964","703","NA"
"SnakeFlux2","/Collaborator_data_UIdaho/beets25/eddypro_biomet.csv","NA","NA","NA","/Collaborator_data_UIdaho/beets25/eddypro_full_output.csv","/Site_Locations_kml_files/ROI_boundary_run_results/Fetch_SF2.csv","NA","NA","NA","/Post_Processed_Data/SnakeFlux2","/Collaborator_data_UIdaho/beets25/beets25_biomet_gapfilled_closed.csv","42.469","-113.258","1348","NA"
"SnakeFlux3","/Collaborator_data_UIdaho/springwheat25/eddypro_biomet.csv","NA","NA","NA","/Collaborator_data_UIdaho/springwheat25/eddypro_full_output.csv","/Site_Locations_kml_files/ROI_boundary_run_results/Fetch_SF3.csv","NA","NA","NA","/Post_Processed_Data/SnakeFlux3","/Collaborator_data_UIdaho/springwheat25/springwheat25_biomet_gapfilled_closed.csv","42.447","-113.257","1362","NA"
