Manual visual inspection to flag suspicious periods,,,,,,,
Guide: (1) Open http://r-shiny.dri.edu:3838/ (2) Review the variables in CSFormat (3) Record the start and end datetimes of any suspicious periods. ,,,,,,,
reviewer,review_date,site,start,end,vars,flag_type,note
Yeonuk Kim,4/6/2026,EDVG,7/10/2025 14:00,7/16/2025 5:30,"NETRAD, ALB, SW_IN, SW_OUT, LW_IN, LW_OUT, PPFD_IN, TS_1_1_1, TS_1_1_2, G_plate_1_1_1, G_plate_1_1_2, G_plate_1_1_3, G_plate_1_1_4",remove,NULL
Yeonuk Kim,4/6/2026,ERVA,5/16/2025 3:00,6/13/2025 23:30,"NETRAD, ALB, SW_IN, SW_OUT, LW_IN, LW_OUT, PPFD_IN, TS_1_1_1, TS_1_1_2, G_plate_1_1_1, G_plate_1_1_2, G_plate_1_1_3, G_plate_1_1_4",remove,NULL
Yeonuk Kim,4/6/2026,ERVA,6/13/2025 23:30,12/10/2025 16:30,"LW_IN, LW_OUT",correct,"Longwave radiation appears to be offset, likely due to incorrect T_nr. An alternative temperature should be used to correct the longwave components."
Yeonuk Kim,4/6/2026,ERVP,10/22/2024 10:00,10/31/2024 15:30,"NETRAD, ALB, SW_IN, SW_OUT, LW_IN, LW_OUT, PPFD_IN, TS_1_1_1, TS_1_1_2, G_plate_1_1_1, G_plate_1_1_2, G_plate_1_1_3, G_plate_1_1_4",remove,NULL
Yeonuk Kim,4/6/2026,ERVP,10/24/2025 1:00,12/10/2025 17:00,"NETRAD, ALB, SW_IN, SW_OUT, LW_IN, LW_OUT, PPFD_IN, TS_1_1_1, TS_1_1_2, G_plate_1_1_1, G_plate_1_1_2, G_plate_1_1_3, G_plate_1_1_4",remove,NULL
Yeonuk Kim,4/6/2026,ECDP,1/1/2026 14:00,1/28/2026 13:30,"T54_1_Temp_Avg, T54_2_Temp_Avg, T54_3_Temp_Avg, T54_4_Temp_Avg, T54_1_VWC_Avg, T54_2_VWC_Avg, T54_3_VWC_Avg, T54_4_VWC_Avg, ",remove,NULL
Yeonuk Kim,4/6/2026,ECDP,3/14/2026 17:30,4/6/2027 13:30,"T54_1_Temp_Avg, T54_2_Temp_Avg, T54_3_Temp_Avg, T54_4_Temp_Avg, T54_1_VWC_Avg, T54_2_VWC_Avg, T54_3_VWC_Avg, T54_4_VWC_Avg, ",remove,Ongoing issue. Need to update end period once it resolve.
Yeonuk Kim,4/6/2026,ECDP,1/28/2026 13:30,1/28/2026 13:30,PA,remove,NULL
Yeonuk Kim,4/6/2026,EDVP,12/22/2025 11:00,4/6/2027 13:30,"T54_1_Temp_Avg, T54_2_Temp_Avg, T54_3_Temp_Avg, T54_4_Temp_Avg, T54_1_VWC_Avg, T54_2_VWC_Avg, T54_3_VWC_Avg, T54_4_VWC_Avg, ",remove,Ongoing issue. Need to update end period once it resolve.
Yeonuk Kim,4/6/2026,EDVG,11/10/2023 14:30,11/10/2023 14:30,PPFD_IN,remove,NULL
